Journal Page,Twp Name,Twp No,Lot No,Bounds,Alt Lot,Alt bounds,Bounds Text,Direction,Corner,Corner Observations,Chains,Links,Observation,Destination Corner,Transcriber
52,Hector,21,7,North,Townline,South,,West,,,77,57,The Northeast and Northwest Corner of Lots No. 6 & 7 - Vide page 33 ,NW,Rebecca
52,Hector,21,7,North,Townline,South,"Good Land Bearing timber as last Mentioned [ Beach, Maple, Ash and White pine]",,,,,,,,
55,Hector,21,7,South,16,North,,East,SW,"Beginning at the Corner last Mentioned [Corner of Lots No. 6, 7, 15, 16 Vide Page 33]",0,,,,Rebecca
55,Hector,21,7,South,16,North,,East,,,5,,Crossed a fine Brook running Southeasterly,,Rebecca
55,Hector,21,7,South,16,North,,East,,,38,,Crossed the Bend of a Brook,,Rebecca
55,Hector,21,7,South,16,North,,East,,,53,,Crossed another Bend of the Same Brook Which now bears Northwesterly.,,Rebecca
55,Hector,21,7,South,16,North,,East,,,77,57,"The Corner of Lots 7, 8, 16 & 17 [Vide Page 39.]",SE,Rebecca
55,Hector,21,7,South,16,North,"Land good and level Timber much the same as Last Mentioned [Beach, Maple, Basswood, Elm & White Ash]",East,,,,,,,
39,Hector,21,7,East,8,West,,North,SE,"Beginning at the Corner last mentioned [Corner of Lots No. 7 & 8, 16 & 17]",0,,,,
39,Hector,21,7,East,8,West,,North,,,20,,Crossed a Large Brook running Easterly,,
39,Hector,21,7,East,8,West,,North,,,60,,A fine Brook running Southeasterly,,Judy
39,Hector,21,7,East,8,West,,North,,,80,,Intersected the North Bounds of the Town and marked and Numbered a Stake 25 Links North of a Birch Tree also Marked & Numbered for the Northeast and Northwest Corner of Lots No. 7 & 8,NE,Judy
39,Hector,21,7,East,8,West,No Journal Entry,,,,,,,,
,Hector,21,7,West,6,East,see Lot 6 East,,,,,,,SW,Judy
,,,,,,,,,,,,,,,
52,Hector,21,8,North,Townline,South,,West,NE,"Beginning at the Corner last mentioned [Corner of Lots No. 8, 9, 17 & 18]",0,,,,
52,Hector,21,8,North,Townline,South,,West,,,5,,Crossed a small brook running Southeasterly,,Rebecca
52,Hector,21,8,North,Townline,South,,West,,,77,57,The Northeast and Northwest Corner of Lots No. 7 & 8 - Vide page 39,NW,
52,Hector,21,8,North,Townline,South,Land level and good bearing Beach Maple Ash and White pine,,,,,,,,
55,Hector,21,8,South,17,North,,East,SW,"Beginning at the Corner last Mentioned [Corner of Lots 7, 8, 16, 17 Vide Page 39.]",0,,,,
55,Hector,21,8,South,17,North,,East,,,58,,Crossed a dry run bear[ing] Northeasterly,,
56,Hector,21,8,South,17,North,,East,,,77,57,"The Corner of lots No. 8, 9, 17, 18 Vide Page 40.",SE,Rebecca
56,Hector,21,8,South,17,North,Land very good and Level Timbered with Beach Maple White pine Elm White Ash etc.,,,,,,,,
40,Hector,21,8,East,9,West,,South,NE,Beginning at a Stake Standing on the North Bounds of the Town 8 Links Northwest of a Beach Tree marked and Numbered for the Northeast and Northwest Corner of Lots No.  8 & 9,0,,,,
40,Hector,21,8,East,9,West,,South,,,30,,Crossed a large Brook running Easterly good level Land Bearing Beach Maple Ash Basswood Elm etc.,,Judy
40,Hector,21,8,East,9,West,,South,,,80,,"Intersected a Line & Marked & Numbered a Chesnut Tree for the Corner of Lots No. 8, 9, 17 & 18",SE,Judy
40,Hector,21,8,East,9,West,No Journal Entry,,,,,,,,
,Hector,21,8,West,7,East,see Lot 7 east,,,,,,,,
,,,,,,,,,,,,,,,
52,Hector,21,9,North,Townline,South,,West,NE,Beginning at the Corner last Mentioned [Corner of Lots No. 9 & 10 Vide Page 46],0,,,,
52,Hector,21,9,North,Townline,South,,West,,,28,,A Small Brook running Southeasterly,,Rebecca
52,Hector,21,9,North,Townline,South,,West,,,35,,A Small Spring brook: Ditto [running Southeasterly],,Rebecca
52,Hector,21,9,North,Townline,South,,West,,,44,,A small spring brook bear: Ditto [Southeasterly],,Rebecca
52,Hector,21,9,North,Townline,South,,West,,,77,57,A Stake Standing 8 links Northwest of a Beach tree Vide page 40 for a more particular Description [Corner of Lots No. 8 & 9],NW,Rebecca
52,Hector,21,9,North,Townline,South,No Journal Entry,,,,,,,,
56,Hector,21,9,South,18,North,,East,SW,"Beginning at the Corner last Mentioned [Corner of Lots No. 8, 9,17, 18  Vide Page 40]",0,,,,
56,Hector,21,9,South,18,North,,East,,,77,57,"The Corner of Lots No. 9, 10, 18 & 19 Vide Page 46",SE,Rebecca
56,Hector,21,9,South,18,North,Excellent Land Timbered as last mentioned [Beach Maple  White pine  Elm White ash etc.],East,,,,,,,
46,Hector,21,9,East,10,West,,North,SE,"Beginning at the Corner last Mentioned [Corner of Lots No. 9, 10, 18 & 19]",0,,,,
46,Hector,21,9,East,10,West,,North,,,2,,A small Brook running Southerly,,Judy
46,Hector,21,9,East,10,West,,North,,,50,,Crossed a fine large Brook running Easterly,,Judy
46,Hector,21,9,East,10,West,,North,,,80,,Intersected a Line Marked and Numbered a Beach Tree for the Northeast & Northwest Corner of Lots No. 9 & 10 Standing in the North Bounds of the Town [20] Links Southwesterly from the Corner.,NE,Judy
46,Hector,21,9,East,10,West,Fine Land Timber last Mentioned [ Maple Elm White Ash & Hickory],,,,,,,,
40,Hector,21,9,West,8,East,see Lot 8 east,,,,,,,SW,Judy
,,,,,,,,,,,,,,,
51,Hector,21,10,North,Townline,South,,West,NE,Beginning at the Northeast Corner of the Township being a beach tree Marked for the Northeast and Northwest Corner of Township No. 21 & 22 standing in the South bounds of Township No. 16.,0,,,,
51,Hector,21,10,North,Townline,South,,West,,,20,,The Land inclines to  Swamp,,Rebecca
51,Hector,21,10,North,Townline,South,,West,,,70,,A Small run of Water Bear: Southerly,,Rebecca
51,Hector,21,10,North,Townline,South,,West,,,77,17,A Stake Standing 20 Links Northeasterly of a Beach Tree marked and Numbered for the Northeast & Northwest corner of Lots No. 9 & 10 Vide Page 46.,NW,Rebecca
51,Hector,21,10,North,Townline,South,No Journal Entry,,,,,,,,
56,Hector,21,10,South,19,North,,East,SW,"Beginning at the last Mentioned Corner  [Corner of Lots No. 9, 10, 18 & 19 Vide Page 46]",0,,,,
56,Hector,21,10,South,19,North,,East,,,21,,A small spring brook running Westerly,,Rebecca
56,Hector,21,10,South,19,North,,East,,,60,,Crossed a large Brook or Creek running Southerly,,Rebecca
56,Hector,21,10,South,19,North,,East,,,77,57,"The Corner of Lots No. 10, 19 Vide Page 47 ",SE,Rebecca
56,Hector,21,10,South,19,North,Land Excellently good & level Bear:  Beach Maple Basswood Elm & White pine,East,,,,,,,
47,Hector,21,10,East,Townline,West,,South,NE,Beginning at a Beach Tree being the Northeast Corner of the Township and of Lot No.10 marked on the Southeasterly Side NW for the Northwest Corner of Township No. 22 and on the Southwesterly Side NE for the Northeast Corner of Township No. 21,0,,,,
47,Hector,21,10,East,Townline,West,,South,,,50,,A Run of Water in a Hollow,,JuneSzabo
